FECHA,IRRADH00,IRRADH03,IRRADH06,IRRADH09,IRRADH12,IRRADH15,IRRADH18,IRRADH21,ANNO,MES,DIA,DIASEM
2015-01-01,0.0,0.0,0.0,692225.5,1322431.0,430188.47,0.0,0.0,2015,1,1,3
2015-01-02,0.0,0.0,0.0,649184.3,1195503.0,305219.1,0.0,0.0,2015,1,2,4
2015-01-03,0.0,0.0,0.0,656056.44,1262154.6,401844.66,0.0,0.0,2015,1,3,5
2015-01-04,0.0,0.0,0.0,678461.8,1304509.8,442992.84,0.0,0.0,2015,1,4,6
2015-01-05,0.0,0.0,0.0,632393.9,1286509.0,459296.16,0.0,0.0,2015,1,5,0
2015-01-06,0.0,0.0,0.0,642030.3,1299947.1,425274.47,0.0,0.0,2015,1,6,1
2015-01-07,0.0,0.0,0.0,592110.56,1254969.0,449933.94,0.0,0.0,2015,1,7,2
2015-01-08,0.0,0.0,0.0,646899.0,1334700.4,394865.1,0.0,0.0,2015,1,8,3
2015-01-09,0.0,0.0,0.0,674038.5,1373985.5,505151.47,0.0,0.0,2015,1,9,4
2015-01-10,0.0,0.0,0.0,716759.7,1379880.6,511597.25,0.0,0.0,2015,1,10,5
2015-01-11,0.0,0.0,0.0,640572.5,1280227.0,484511.9,0.0,0.0,2015,1,11,6
2015-01-12,0.0,0.0,0.0,726108.75,1407869.4,537223.44,0.0,0.0,2015,1,12,0
2015-01-13,0.0,0.0,0.0,700769.9,1374620.8,499444.0,0.0,0.0,2015,1,13,1
2015-01-14,0.0,0.0,0.0,733886.06,1412771.2,552467.25,0.0,0.0,2015,1,14,2
2015-01-15,0.0,0.0,0.0,704212.9,1301222.6,450545.44,0.0,0.0,2015,1,15,3
2015-01-16,0.0,0.0,0.0,545201.75,1121697.0,419607.1,0.0,0.0,2015,1,16,4
2015-01-17,0.0,0.0,0.0,717082.3,1382898.2,591965.7,0.0,0.0,2015,1,17,5
2015-01-18,0.0,0.0,0.0,318097.56,476305.62,76645.79,0.0,0.0,2015,1,18,6
2015-01-19,0.0,0.0,0.0,405146.66,845527.3,277594.75,0.0,0.0,2015,1,19,0
2015-01-20,0.0,0.0,0.0,465704.56,872377.3,281874.5,0.0,0.0,2015,1,20,1
2015-01-21,0.0,0.0,0.0,610949.6,791045.8,121407.52,0.0,0.0,2015,1,21,2
2015-01-22,0.0,0.0,0.0,480754.28,1050939.1,517071.62,0.0,0.0,2015,1,22,3
2015-01-23,0.0,0.0,0.0,759303.1,1442735.6,656053.6,0.0,0.0,2015,1,23,4
2015-01-24,0.0,0.0,0.0,760450.8,1451293.0,641480.0,0.0,0.0,2015,1,24,5
2015-01-25,0.0,0.0,0.0,773550.25,1460693.4,671661.3,0.0,0.0,2015,1,25,6
2015-01-26,0.0,0.0,0.0,744076.1,1124436.2,348046.22,0.0,0.0,2015,1,26,0
2015-01-27,0.0,0.0,0.0,486346.28,1053030.4,387056.62,0.0,0.0,2015,1,27,1
2015-01-28,0.0,0.0,0.0,736099.3,1508834.4,692612.5,0.0,0.0,2015,1,28,2
2015-01-29,0.0,0.0,0.0,691715.8,1226395.4,326013.25,0.0,0.0,2015,1,29,3
2015-01-30,0.0,0.0,0.0,169340.17,347072.47,71242.71,0.0,0.0,2015,1,30,4
2015-01-31,0.0,0.0,0.0,688399.4,1236055.8,420945.56,0.0,0.0,2015,1,31,5
2015-02-01,0.0,0.0,0.0,746410.9,1095024.2,578681.94,0.0,0.0,2015,2,1,6
2015-02-02,0.0,0.0,0.0,302054.1,768470.0,243365.67,0.0,0.0,2015,2,2,0
2015-02-03,0.0,0.0,0.0,728453.3,1325606.2,550445.06,0.0,0.0,2015,2,3,1
2015-02-04,0.0,0.0,0.0,422886.16,1005601.6,552320.8,0.0,0.0,2015,2,4,2
2015-02-05,0.0,0.0,0.0,708859.7,1279893.4,678233.6,0.0,0.0,2015,2,5,3
2015-02-06,0.0,0.0,0.0,721609.75,1147958.0,505730.1,0.0,0.0,2015,2,6,4
2015-02-07,0.0,0.0,0.0,672454.06,1203457.0,542838.9,0.0,0.0,2015,2,7,5
